чудовище	монстр
партия	кон
шкаф	сервант
подбородок	лоб
стер	нарисовал
перед	до
п	б
хвала	лесть
вуаль	фата
страница	лист
заец	лис
года	дни
заяц	лис
демон	бес
измельчать	толочь
лодка	катер
мега	микро
мент	коп
позади	за
киоск	будка
охота	лов
кубик	кость
отпускай	лови
держи	на
кипяти	вари
овец	коз
гипнос	транс
содержание	форма
рот	тор
вместе	сам
о	про
ярлык	бирка
блин	ком
их	нас
айсберг	ледник
браво	бисс
общин	сект
пшена	риса
маршрут	рейс
лестница	трап
яиц	ция
биодобавка	бад
овраг	яр
модель	марка
лично	само
раздел	одел
шиномонтаж	сто
тип	топ
запас	резерв
новое	бу
пушкин	фет
просьба	петиция
лицо	фейс
сох	мок
кусь	ам
сюда	туда
обожествление	культ
лошадь	пони
орков	троллей
гидро	аква
крис	ри
глупость	ум
бывший	экс
тиски	пресс
шайба	диск
мадрид	рим
мадрид	реал
мель	брод
волшебник	маг
де	ед
фонарей	фар
уступок	форма
омар	рак
ария	ода
чисть	драй
гримас	мин
зил	газ
той	тому
пятачок	рыло
мини	мега
корень	ветка
класс	род
мне	ей
один	три
затылок	лоб
путь	тракт
сверху	на
ангора	перс
стол	парта
пиджак	фрак
логика	бред
да	си
рост	вес
миля	лье
лампа	бра
ре	ер
переодов	фаз
дом	здание
вау	фу
палка	кол
апрель	май
тишина	ор
слух	зрение
тысяч	ста
ксёндз	ребе
ксендз	ребе
судимость	ходка
успех	крах
нос	глаз
фу	ок
борисфена	истра
борисфен	истр
истр	дунай
борисфен	днепр
тани	маши
богини	музы
эн	ка
net	ком
net	дот
нет	ком
нет	дот
едят	пьют
ять	ер
фа	си
як	ла
кать	ань
фд	вт
гадюка	уж
гадюка	анидаг
гадина	анидаг
аут	ин
или	но
после	до
панк	ска
б	п
аджика	лечо
кристи	по
слабость	мощь
мощь	сила
и	но
клоун	рыба
пила	рыба
клоун	оно
оно	кинг
